barcode,name,price
1P558510-12M,PACK 2 PANTALONES,13730
1P558510-18M,PACK 2 PANTALONES,13730
1P558510-3M,PACK 2 PANTALONES,13730
1P558510-6M,PACK 2 PANTALONES,13730
1P558510-9M,PACK 2 PANTALONES,13730
1P558510-NB,PACK 2 PANTALONES,13730
1P559910-NB,"PACK 5 BODIES MANGAS CORTAS ""DINOSAURIOS""",27241
1P565710-12M,"PACK 5 BODIES MANGAS CORTAS ""SMILES AND SUNSHINE""",27241
1P565710-3M,"PACK 5 BODIES MANGAS CORTAS ""SMILES AND SUNSHINE""",27241
1P565710-6M,"PACK 5 BODIES MANGAS CORTAS ""SMILES AND SUNSHINE""",27241
1P565710-9M,"PACK 5 BODIES MANGAS CORTAS ""SMILES AND SUNSHINE""",27241
1P565710-NB,"PACK 5 BODIES MANGAS CORTAS ""SMILES AND SUNSHINE""",27241
1P566110-12M,PACK 5 BODIES MANGAS CORTAS,27241
1P566110-18M,PACK 5 BODIES MANGAS CORTAS,27241
1P566110-3M,PACK 5 BODIES MANGAS CORTAS,27241
1P566110-6M,PACK 5 BODIES MANGAS CORTAS,27241
1P566110-9M,PACK 5 BODIES MANGAS CORTAS,27241
1P566310-3M,"PACK 5 BODIES MANGAS CORTAS ""PANDAS""",27241
1P566310-NB,"PACK 5 BODIES MANGAS CORTAS ""PANDAS""",27241
1P566510-12M,PACK 5 BODIES MANGAS CORTAS,27241
1P566910-9M,PACK 5 BODIES MANGAS CORTAS,27241
1P566910-NB,PACK 5 BODIES MANGAS CORTAS,27241
1P567010-12M,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P567010-18M,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P567010-3M,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P567010-6M,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P567010-9M,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P567010-NB,"PACK 5 BODIES MANGAS CORTAS ""SO VERY CUTE""",27241
1P570910-12M,"SET 3 PIEZAS BODIES MANGAS CORTAS Y PANTALÓN ""GALLETITAS""",22249
1P570910-18M,"SET 3 PIEZAS BODIES MANGAS CORTAS Y PANTALÓN ""GALLETITAS""",22249
1P570910-3M,"SET 3 PIEZAS BODIES MANGAS CORTAS Y PANTALÓN ""GALLETITAS""",22249
